,Strain,Plate,Counts,Rapa,Substrate,Normalized_counts,Row5,Norm_Row5
3,group_2,1,21,-,No Substrate,0.954545455,170,0.94095941
4,group_2,1,29,-,No Substrate,1.318181818,181,1.001845018
5,group_2,1,16,-,No Substrate,0.727272727,191,1.057195572
9,group_2,2,26,+,No Substrate,1.181818182,180,0.996309963
10,group_2,2,18,+,No Substrate,0.818181818,172,0.95202952
11,group_2,2,25,+,No Substrate,1.136363636,182,1.007380074
15,group_2,3,15,-,RpoA,0.957446809,101,0.923780488
16,group_2,3,16,-,RpoA,1.021276596,113,1.033536585
17,group_2,3,16,-,RpoA,1.021276596,114,1.042682927
21,group_2,4,13,+,RpoA,0.829787234,124,1.134146341
22,group_2,4,12,+,RpoA,0.765957447,119,1.088414634
23,group_2,4,28,+,RpoA,1.787234043,105,0.960365854
51,group_2,9,9,-,SecA1,0.642857143,101,1.089928058
52,group_2,9,13,-,SecA1,0.928571429,91,0.982014388
53,group_2,9,20,-,SecA1,1.428571429,86,0.928057554
57,group_2,10,11,+,SecA1,0.785714286,98,1.057553957
58,group_2,10,8,+,SecA1,0.571428571,96,1.035971223
59,group_2,10,16,+,SecA1,1.142857143,97,1.04676259
63,group_2,11,6,-,AtpH,1.132743363,128,1.132743363
64,group_2,11,11,-,AtpH,1,113,1
65,group_2,11,17,-,AtpH,0.867256637,98,0.867256637
69,group_2,12,17,+,AtpH,0.92920354,105,0.92920354
70,group_2,12,15,+,AtpH,1.159292035,131,1.159292035
71,group_2,12,17,+,AtpH,0.920353982,104,0.920353982
75,group_2,13,10,-,AtpG,0.625,134,1.122905028
76,group_2,13,13,-,AtpG,0.8125,127,1.06424581
77,group_2,13,25,-,AtpG,1.5625,97,0.812849162
81,group_2,14,7,+,AtpG,0.4375,139,1.164804469
82,group_2,14,15,+,AtpG,0.9375,106,0.888268156
83,group_2,14,19,+,AtpG,1.1875,111,0.930167598
27,group_2,5,29,-,AtpA,1.144736842,223,1.084278768
28,group_2,5,28,-,AtpA,1.105263158,202,0.982171799
29,group_2,5,19,-,AtpA,0.75,192,0.933549433
33,group_2,6,19,+,AtpA,0.75,161,0.782820097
34,group_2,6,23,+,AtpA,0.907894737,145,0.705024311
35,group_2,6,19,+,AtpA,0.75,159,0.773095624
87,group_2,15,24,-,AtpD,0.923076923,194,1.152475248
88,group_2,15,25,-,AtpD,0.961538462,133,0.79009901
89,group_2,15,29,-,AtpD,1.115384615,178,1.057425743
93,group_2,16,12,+,AtpD,0.461538462,144,0.855445545
94,group_2,16,15,+,AtpD,0.576923077,192,1.140594059
95,group_2,16,23,+,AtpD,0.884615385,114,0.677227723
39,group_2,7,13,-,Ffh,0.928571429,110,1.089108911
40,group_2,7,12,-,Ffh,0.857142857,98,0.97029703
41,group_2,7,17,-,Ffh,1.214285714,95,0.940594059
45,group_2,8,7,+,Ffh,0.5,85,0.841584158
46,group_2,8,4,+,Ffh,0.285714286,76,0.752475248
47,group_2,8,11,+,Ffh,0.785714286,73,0.722772277
